word,context,frequency,definition
chunk,"I hear them a lot of the times you can use the word mutual totally on its own, but there are a lot of chunks with this word.",4.37e-06,a compact mass
breakup,All of these we hear this sometimes with breakups that they made decision together.,4.37e-06,the termination or disintegration of a relationship (between persons or nations)
mutually,"I'll leave a little teaser and that's mutually exclusive, but we'll do that on another episode because that is definitely a good one to say something is or isn't mutually exclusive.",4.79e-06,in a mutual or shared manner
fulfilling,"Yeah, this is the most it's very fulfilling when I see their their daughters",5.13e-06,put in effect
hopeful,"So I'm hopeful that will be a mutual interest once, you know, our kids are older.",6.17e-06,an ambitious and aspiring young person
playground,"Yeah, because for my kids age, they all like playing at the playground.",6.17e-06,an area where many people go for recreation
lindsay,but I see I'm going to call you Lindsay.,6.46e-06,United States playwright who collaborated with Russel Crouse on several musicals (1889-1931)
volleyball,"Volleyball is a good example of something we did not have in common, right?",7.08e-06,a game in which two teams hit an inflated ball over a high net using their hands
mindset,it's just a good this word is also just a good mindset to be in for connection.,7.24e-06,a habitual or characteristic mental attitude that determines how you will interpret and respond to situations
hiking,I love my hiking club.,7.41e-06,a long walk usually for exercise or pleasure
vet,Because they're already vetted a little bit.,7.94e-06,a doctor who practices veterinary medicine
thriller,"Someone will be like, I love thrillers.",8.13e-06,a suspenseful adventure story or play or movie
terribly,"But then it would be awkward if it went really terribly and your friend, your mutual friend asks like, how did it go?",8.13e-06,used as intensifiers
hike,"It's always interesting because sometimes like I have a friend, she and her husband, they like to hike all the time.",8.91e-06,a long walk usually for exercise or pleasure
perfection,"Connection, not perfection.",9.77e-06,the state of being without a flaw or defect
colin,And Colin actually have that.,1.23e-05,Definition not found
hmm,Mm hmm.,1.29e-05,Definition not found
brad,So how did you meet Brad?,1.32e-05,a small nail
dive,So I'm excited to dive into this and give you guys lots of ways because this is an amazing thing to connect about in English.,1.32e-05,a cheap disreputable nightclub or dance hall
aw,"Aw, Aubrey, the feeling is mutual.",1.35e-05,Definition not found
skilled,"But volleyball is a sport where if you're not playing at the same level, it's sort of not that fun for people to play who are really skilled with someone who's brand new and doesn't have a lot of control.",1.35e-05,having or showing or requiring special skill
meaningful,"Whereas you can build the connection here by saying something a little more meaningful, like the feeling is mutual.",1.38e-05,having a meaning or purpose
salad,I'll start a salad.,1.41e-05,food mixtures either arranged on a plate or tossed and served with a moist dressing; usually consisting of or including greens
podcast,You guys hit follow right here on the podcast.,1.41e-05,distribute (multimedia files) over the internet for playback on a mobile device or a personal computer
michelle,"Hello, Michelle.",1.45e-05,Definition not found
endless,"Yeah, it's like the possibilities are endless.",1.51e-05,tiresomely long; seemingly without end
conscious,"I'm just uncoupling was what Gwyneth Paltrow had called it when she was like, this is conscious uncoupling.",1.51e-05,intentionally conceived
commentary,It's more of a commentary after the fact.,1.55e-05,a written explanation or criticism or illustration that is added to a book or other textual material
habit,"So guys, if you want to listen to another great episode about connection, check out episode 2391, though, is how to connect over coffee habits in English.",1.74e-05,an established custom
poem,"Ukulele and I write, I'll like write poems and we'll turn it into a song and perform it together.",1.78e-05,a composition written in metrical feet forming rhythmical lines
mutual,Do you know anyone who met their partner through a mutual friend?,1.82e-05,common to or shared by two or more parties
awkward,"But then it would be awkward if it went really terribly and your friend, your mutual friend asks like, how did it go?",1.95e-05,causing inconvenience
celebrity,"So or a lot of times, yeah, you hear this with celebrity breakups, I'm thinking.",1.95e-05,a widely known person
phrase,"So be sure you're following here on Aller's English and business English, because sometimes a phrase like that we use in daily conversations and also a lot at work.",2e-05,an expression consisting of one or more words forming a grammatical constituent of a sentence
jonathan,"She became my close friend and I had this feeling that she was just a really good fit for my friend, my friend, Jonathan from preschool.",2.04e-05,red late-ripening apple; primarily eaten raw
elementary,"First of all, that you have friends from elementary school.",2.14e-05,easy and not involved or complicated
fame,So that is my biggest claim to fame,2.19e-05,the state or quality of being widely honored and acclaimed
introduce,And I actually introduced them.,2.34e-05,cause to come to know personally
connect,So I'm excited to dive into this and give you guys lots of ways because this is an amazing thing to connect about in English.,2.4e-05,"connect, fasten, or put together two or more pieces"
yep,Yep.,2.45e-05,Definition not found
bye,"Bye, Aubrey.",2.45e-05,you advance to the next round in a tournament without playing an opponent
abroad,"We like to travel and I don't always like to travel, but I definitely kind of put him on the path of like really, you know, going abroad and things like that.",2.45e-05,in a foreign country
hire,"Well, the hiring manager and I have a mutual friend.",2.51e-05,a newly hired employee
marry,And now they have two daughters and they've been married over 10 years.,2.51e-05,take in marriage
skill,"Oh, man, I'm really happy that you guys heard this episode because this is a skill that you need for connection.",2.63e-05,an ability that has been acquired by training
confident,You seem so confident.,2.69e-05,having or marked by confidence or assurance
ear,So hit follow wherever you listen to podcasts to all ears English.,2.69e-05,the sense organ for hearing and equilibrium
mini,"So we're actually going to do a lot of mini role plays today, Aubrey.",2.75e-05,a very short skirt
formal,That doesn't really build the connection that feels sort of formal and like we're being a little too like we've planned out trying to build this connection.,2.82e-05,a lavish dance requiring formal attire
compare,We kind of make these jokes comparing a relationship to a job when it ends.,2.82e-05,qualities that are comparable
curious,"I'm like curious, how do they know them?",2.82e-05,beyond or deviating from the usual or expected
impressive,"OK, there are so many things that are impressive about that story.",2.95e-05,making a strong or vivid impression
guitar,"He plays the guitar, the banjo and the ukulele.",3.02e-05,a stringed instrument usually having six strings; played by strumming or plucking
dan,"Yeah, for me, I guess, like Dan, he likes, I'm just thinking he does like like music, but he like it would be good if we could like play music together because he can play some music.",3.24e-05,Definition not found
automatically,They're not automatically friends with every other kid.,3.31e-05,in a reflex manner
quit,"No, actually, I quit.",3.47e-05,put an end to a state or an activity
exclusive,"I'll leave a little teaser and that's mutually exclusive, but we'll do that on another episode because that is definitely a good one to say something is or isn't mutually exclusive.",3.63e-05,a news report that is reported first by one news organization
afford,"And part of it is because we have kids, we can't really afford to go with them.",3.72e-05,be able to spare or give up
chat,So we started chatting.,3.72e-05,an informal conversation
dedicated,So I sort of dedicated myself.,3.8e-05,"give entirely to a specific person, activity, or cause"
possibility,"Yeah, it's like the possibilities are endless.",3.8e-05,a future prospect or potential
bond,"We like built this deeper bond over the things that we have in common, our mutual interests, but also talking about the mutual interests we have with our partner, with other people in our lives.",3.89e-05,an electrical force linking atoms
blame,I won't blame you.,4.27e-05,an accusation that you are responsible for some lapse or misdeed
ah,"Ah, yes, I actually do.",4.27e-05,Definition not found
friendly,"It was a mutual, you know, a friendly break up, a mutual decision.",4.37e-05,troops belonging to or allied with your own military forces
mm,Mm hmm.,4.47e-05,a metric unit of length equal to one thousandth of a meter
perform,But I guess it would be cool if we had like the mutual interest of performing.,4.57e-05,carry out or perform an action
joke,"I could see making this joke, actually, if someone breaks up.",4.79e-05,a humorous anecdote or remark intended to provoke laughter
path,"We like to travel and I don't always like to travel, but I definitely kind of put him on the path of like really, you know, going abroad and things like that.",5.13e-05,a course of conduct
terrible,"This gives you that little bit of a level of knowing like, this can't be too terrible if my friend likes them.",5.13e-05,causing fear or dread or terror
hello,"Hello, Michelle.",5.25e-05,an expression of greeting
honest,How honest are you?,5.37e-05,not disposed to cheat or defraud; not deceptive or fraudulent
taste,You're talking about mutual tastes in film or books.,5.37e-05,the sensation that results when taste buds in the tongue and throat convey information about the chemical composition of a soluble stimulus
sport,"Yes, sports, music, they'd get along for sure.",5.37e-05,an active diversion requiring physical exertion and competition
excited,"So yeah, I'm really excited for today's episode and to get to record with you and spend time with you.",5.5e-05,arouse or elicit a feeling
conversation,Like that's a great conversation.,5.62e-05,the use of speech for informal exchange of views or ideas or information etc.
treat,This is such a treat.,5.62e-05,something considered choice to eat
unique,"My story is kind of unique that I actually set them up, but it doesn't have to be that that person set you up.",5.62e-05,radically distinctive and without equal
connection,it's just a good this word is also just a good mindset to be in for connection.,5.75e-05,a relation between things or events (as in the case of one causing the other or sharing features with it)
rare,"That's rare, right?",5.89e-05,not widely known; especially valued for its uncommonness
lucky,"OK, I feel so lucky that we have been friends for all these years.",5.89e-05,occurring by chance
tough,"Yeah, that's tough.",5.89e-05,someone who learned to fight in the streets rather than being formally trained in the sport of boxing
negative,It can be negative feelings that are mutual.,6.17e-05,a reply of denial
weird,"Shouldn't be super weird, right?",6.46e-05,fate personified; any one of the three Weird Sisters
understanding,Sometimes we'll say mutual understanding too.,6.61e-05,the cognitive condition of someone who understands
totally,"I hear them a lot of the times you can use the word mutual totally on its own, but there are a lot of chunks with this word.",6.76e-05,to a complete degree or to the full or entire extent (`whole' is often used informally for `wholly')
throw,"Aubrey, today I noticed that you threw out that word a mutual friend.",6.76e-05,the act of throwing (propelling something with a rapid movement of the arm and wrist)
mouth,It was one of the first ones that you were talking about the collocations and that one kind of popped out of your mouth.,6.76e-05,the opening through which food is taken in and vocalizations emerge
brand,"But volleyball is a sport where if you're not playing at the same level, it's sort of not that fun for people to play who are really skilled with someone who's brand new and doesn't have a lot of control.",6.76e-05,a name given to a product or service
realize,Plan on asking people what they're interested in and then you'll find out what you have in common when you realize what mutual interests you have.,6.76e-05,be fully aware or cognizant of
separate,"No, actually, separate role play.",6.76e-05,a separately printed article that originally appeared in a larger publication
partner,Do you know anyone who met their partner through a mutual friend?,6.92e-05,a person's partner in marriage
coffee,"So guys, if you want to listen to another great episode about connection, check out episode 2391, though, is how to connect over coffee habits in English.",7.24e-05,a beverage consisting of an infusion of ground coffee beans
interview,What makes you think you will get a job interview?,7.24e-05,the questioning of a person (or a conversation in which information is elicited); often conducted by journalists
pop,It was one of the first ones that you were talking about the collocations and that one kind of popped out of your mouth.,7.41e-05,an informal term for a father; probably derived from baby talk
agreement,The next one is a mutual decision or a mutual agreement.,7.59e-05,the statement (oral or written) of an exchange of promises
notice,"Aubrey, today I noticed that you threw out that word a mutual friend.",7.94e-05,"an announcement containing information about an event; ; ; ""a notice of sale"
drink,Do they drink coffee?,7.94e-05,a single serving of a beverage
facebook,"So maybe you met your partner or another friend through this person or maybe on Facebook, you have mutual friends.",7.94e-05,Definition not found
touch,I have not kept in touch with anyone that long from preschool even.,8.13e-05,the event of something coming in contact with the body
clearly,"Well, clearly the feeling is mutual.",8.32e-05,without doubt or question
awesome,Awesome.,8.32e-05,inspiring awe or admiration or wonder; ; ; ; - Melville
spring,Should we get the kids together over spring break?,8.32e-05,the season of growth
weekend,"But often I'm like, let's go out of town this weekend.",8.51e-05,a time period usually extending from Friday night through Sunday; more loosely defined as any period of successive days including one and only one Sunday
hurt,It doesn't hurt.,8.71e-05,any physical damage to the body caused by violence or accident or fracture etc.
fit,"She became my close friend and I had this feeling that she was just a really good fit for my friend, my friend, Jonathan from preschool.",8.91e-05,a display of bad temper
claim,So that is my biggest claim to fame,8.91e-05,an assertion of a right (as to money or property)
interested,What is something that you wish were a mutual interest you and your husband that like he's not interested in and you can't get him to me?,8.91e-05,excite the curiosity of; engage the interest of
wow,"Oh, wow.",9.12e-05,a joke that seems extremely funny
definitely,And definitely the best one for connection.,9.12e-05,without question and beyond doubt
favorite,"Instead, we say things like, what are your favorite movies?",9.33e-05,something regarded with special favor or liking
agree,And I feel like you've already said some of them because I agree with you.,9.33e-05,be in accord; be in agreement
spend,"So yeah, I'm really excited for today's episode and to get to record with you and spend time with you.",9.33e-05,pass time in a specific way
episode,"So yeah, I'm really excited for today's episode and to get to record with you and spend time with you.",9.33e-05,a happening that is distinctive in a series of related events
manager,"Well, the hiring manager and I have a mutual friend.",9.33e-05,someone who controls resources and expenditures
absolutely,Absolutely.,9.55e-05,completely and without qualification; used informally as intensifiers
kid,Should we get the kids together over spring break?,9.77e-05,a young person of either sex
