word,context,frequency,definition
tone,"But yeah, you can reserve grateful a little more for bigger feelings and know that you're going to get the tone right.",3.09e-05,the quality of a person's voice
broad,"And then gratitude, we'll talk about that in a moment, that that is more broad, more appreciation for life in general for like deeper things.",3.39e-05,slang term for a woman
prepare,Or maybe I didn't prepare it correctly.,3.55e-05,"make ready or suitable or equip in advance for a particular purpose or for some use, event, etc"
turkey,It was like a turkey made of tofu and it was disgusting.,3.63e-05,large gallinaceous bird with fan-shaped tail; widely domesticated for food
button,"So guys, go ahead and hit the follow button right now to let us know that you're grateful for our show, right?",3.63e-05,a round fastener sewn to shirts and coats etc to fit through buttonholes
category,And then thankful to be something would be our next category.,3.72e-05,a collection of things sharing a common attribute
parent,"Any parent who's patient enough to teach their children all day and then have them all weekend and then like, it couldn't be me, but I'm impressed.",3.72e-05,a father or mother; one who begets or one who gives birth to or nurtures and raises a child; a relative who plays the role of guardian
shift,And it actually shifts your mindset.,3.72e-05,an event in which something is displaced without rotation
attitude,"I feel that as I express or if you fill out a gratitude journal, you can feel your mindset shifts to that attitude of gratitude.",3.8e-05,a complex mental state involving beliefs and feelings and values and dispositions to act in certain ways
sentence,"Well, so we can make our sentences a little bit more complex there.",3.8e-05,a string of words satisfying the grammatical rules of a language
affect,They're like grateful for the world and that's affecting how they're acting.,3.89e-05,the conscious subjective aspect of feeling or emotion
reserve,"But yeah, you can reserve grateful a little more for bigger feelings and know that you're going to get the tone right.",3.98e-05,formality and propriety of manner
incredible,It's incredible.,4.27e-05,beyond belief or understanding
strange,"So it would be, it would feel a little strange for me to say, I'm thankful to my parents for all they've done for me because that does feel more momentary, not quite as big.",4.37e-05,being definitely out of the ordinary and unexpected; slightly odd or even a bit weird
fill,"I feel that as I express or if you fill out a gratitude journal, you can feel your mindset shifts to that attitude of gratitude.",4.37e-05,a quantity sufficient to satisfy
teach,"I have met a couple of people who home school lately, so they are teaching their children school during the day at home.",4.68e-05,an English pirate who operated in the Caribbean and off the Atlantic coast of North America (died in 1718)
boston,I had one in Boston too.,4.68e-05,state capital and largest city of Massachusetts; a major center for banking and financial services
express,We got a great question about some of the words we use when expressing gratitude that do have a subtle difference.,4.79e-05,mail that is distributed by a rapid and efficient system
native,"You're sharing your grateful, whichever you say, but native English speakers will often choose one or the other.",4.9e-05,an indigenous person who was born in a particular place
mention,"And not to mention, you know, the neuroscience side of things.",5.37e-05,a remark that calls attention to something or someone
wine,"And if you're going to say like, ooh, I'm grateful for this wine.",5.5e-05,fermented juice (of grapes especially)
lovely,"Well, Aubrey, I'm grateful to you for inviting me to this lovely dinner.",5.5e-05,a very pretty girl who works as a photographer's model
excited,So I'm excited to dive into this today.,5.5e-05,arouse or elicit a feeling
slightly,You need to know which prepositions to use because the meaning will be slightly different.,5.62e-05,to a small degree or extent
birthday,"Or he was thankful to his daughter for the birthday card, but really it's thankful to a person or even an organization.",5.75e-05,an anniversary of the day on which a person was born (or the celebration of it)
patient,"Any parent who's patient enough to teach their children all day and then have them all weekend and then like, it couldn't be me, but I'm impressed.",5.89e-05,a person who requires medical care
prove,"And then like we said, there is neuroscience that proves that you then start searching for things that you're grateful for.",5.89e-05,be shown or be found to be
journal,"I feel that as I express or if you fill out a gratitude journal, you can feel your mindset shifts to that attitude of gratitude.",5.89e-05,a daily written record of (usually personal) experiences and observations
dinner,Next one is thankful for something like at the Thanksgiving dinner table.,6.03e-05,the main meal of the day served in the evening or at midday
healthy,"I'm thankful to be healthy today, mobile today.",6.31e-05,having or indicating good health in body or mind; free from infirmity or disease
benefit,It could be a response to a specific act or a benefit.,6.61e-05,financial assistance in time of need
scale,"And thankfulness, we don't really talk about on such a broad scale, right?",6.76e-05,an ordered reference standard
mobile,"I'm thankful to be healthy today, mobile today.",7.08e-05,a river in southwestern Alabama; flows into Mobile Bay
complex,"Well, so we can make our sentences a little bit more complex there.",7.24e-05,a conceptual whole made up of complicated and related parts
weather,"Yeah, or we're thankful for the nice weather.",7.41e-05,the atmospheric conditions that comprise the state of the atmosphere in terms of temperature and wind and clouds and precipitation
meaning,You need to know which prepositions to use because the meaning will be slightly different.,7.41e-05,the message that is intended or expressed or signified
teacher,"So for example, I'm thankful to my son's teacher for helping him succeed.",7.59e-05,a person whose occupation is teaching
japan,"This is from Asami from Tokyo, Japan.",7.76e-05,"a string of more than 3,000 islands to the east of Asia extending 1,300 miles between the Sea of Japan and the western Pacific Ocean"
overall,Someone's overall mindset.,7.94e-05,(usually plural) work clothing consisting of denim trousers (usually with a bib and shoulder straps)
sit,"So this were maybe sitting around the table and like, oh, you know, let's start saying what we're grateful for.",7.94e-05,be seated
competition,"We did have a turkey as well for others, but I tried the Tofurkey and it did not win the competition of Thanksgiving entrace.",8.13e-05,a business relation in which two parties compete to gain customers
choose,"You're sharing your grateful, whichever you say, but native English speakers will often choose one or the other.",8.13e-05,"pick out, select, or choose from a number of alternatives"
organization,"Or he was thankful to his daughter for the birthday card, but really it's thankful to a person or even an organization.",8.32e-05,a group of people who work together
awesome,That is awesome.,8.32e-05,inspiring awe or admiration or wonder; ; ; ; - Melville
imagine,"So these are not hard and fast rules, but these are nice categories where we can start to imagine examples.",8.32e-05,form a mental image of something that is not present or that is not the case
weekend,"Any parent who's patient enough to teach their children all day and then have them all weekend and then like, it couldn't be me, but I'm impressed.",8.51e-05,a time period usually extending from Friday night through Sunday; more loosely defined as any period of successive days including one and only one Sunday
physical,"I'm grateful for physical movement, being able to like, you know, having just being able to physically move.",8.71e-05,involving the body as distinguished from the mind or spirit
rule,"So these are not hard and fast rules, but these are nice categories where we can start to imagine examples.",8.71e-05,a principle or condition that customarily governs behavior
brain,And it does rewire your brain.,8.71e-05,that part of the central nervous system that includes all the higher nervous centers; enclosed within the skull; continuous with the spinal cord
generally,"Often we'll use grateful instead because those might be bigger feelings, but you could, you could say thankful to it's just something that has been done, either sort of generally by a country or something like that or by a person.",8.91e-05,usually; as a rule
definitely,"Yes, definitely.",9.12e-05,without question and beyond doubt
wow,Wow.,9.12e-05,a joke that seems extremely funny
search,The neurons come together and then we start searching for other things we're grateful for.,9.12e-05,the activity of looking thoroughly in order to find something or someone
episode,I'd love to hear your clarification in a future episode.,9.33e-05,a happening that is distinctive in a series of related events
statement,"But yeah, we kind of want our words to match our emotions or how profound our statements are, right?",9.33e-05,a message that is stated or declared; a communication (oral or written) setting forth particulars or facts etc
agree,"And I'm like, I agree that this is grateful in general is used for bigger, more sustained appreciation, deeper, bigger feelings, deeper, bigger and thankful.",9.33e-05,be in accord; be in agreement
movement,"I'm grateful for physical movement, being able to like, you know, having just being able to physically move.",9.33e-05,a change of position that does not entail a change of location
spend,"If we spend time expressing what we're grateful for, we build that muscle in our mind.",9.33e-05,pass time in a specific way
absolutely,Absolutely.,9.55e-05,completely and without qualification; used informally as intensifiers
positive,"Like you said, Lindsay, it's also one of the best ways to have a positive mindset and stay in a positive headspace, but also such a great way to connect to just talk with someone about what each of you are grateful for.",9.77e-05,"the primary form of an adjective or adverb; denotes a quality without qualification, comparison, or relation to increase or diminution"
